,Voters,date,voters_expected,voters_observed
301,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-03-30,11.0,11.0
302,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",1999-05-18,11.0,11.0
303,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-06-30,10.0,10.0
304,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-08-24,10.0,10.0
305,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-10-05,10.0,10.0
306,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-11-16,10.0,10.0
307,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",1999-12-21,10.0,10.0
308,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-02-02,10.0,10.0
309,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-03-21,10.0,10.0
310,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",2000-05-16,10.0,10.0
